Control_1 Control_2 Control_3 Control_4 dazl_1 dazl_2 dazl_3 dazl_4
ENSDARG00000000906 2.99053 2.012852 2.56724 2.786347 1.954742 2.91939 4.11958 2.41959
ENSDARG00000000935 1.329088 1.023045 2.591638844926 1.1407464 4.29818 4.290508 3.135919 3.704621
ENSDARG00000000943 11.9125277 10.525523 9.495727 6.768552 10.98455 9.237272 12.0430082236 11.277853
ENSDARG00000000966 7.4366568 6.3465712 6.5755264 3.81074 8.631121 9.494052 8.3857785 8.4149078
ENSDARG00000001014 17.7968459 8.726936 14.769595 6.410601 28.587908 25.419336 17.205982 12.022766
ENSDARG00000001015 8.1974264 6.09925 7.2436249 4.970651 9.48526 9.724034 8.590113 6.736744
ENSDARG00000001057 74.707 85.6024 105.254 112.7 123.617 121.753 98.4502 91.9028
ENSDARG00000001127 0.236312 0.217648 0.876857 0.284232 1.99389 1.27436 0.9417 0.644196
ENSDARG00000001129 5.4494066 4.81816 5.775972 4.03602346 6.9584459 6.9382458 7.31796395 7.9631429
ENSDARG00000001154 0.2514479 0.0893466 0.291758 0.1584088 0.3894034 0.4704354 0.3845192 0.202834020523
ENSDARG00000001162 36.08863 23.785774 23.79516 18.103618 25.74072 25.13641 28.82857 29.78532
ENSDARG00000001169 3.148608 4.793441 3.006942 3.797228 2.977935 2.94768 4.998491 6.65341
ENSDARG00000001210 55.6432 58.919 60.6366 67.1953 79.6298 80.0355 73.8848 80.8565
ENSDARG00000001220 4.25524 4.23189 3.60903 2.77785 5.45064 5.01264 5.1695 4.96528
ENSDARG00000001234 2.07599 1.97458 1.9717 1.58355 2.00005 2.030848 2.95934 2.04514
ENSDARG00000001241 93.0542074 85.5246135 105.0966365 92.285596 137.073084 132.0840038 115.994862 119.917091
ENSDARG00000001244 113.150684 78.1595761 86.598198 52.355623 79.261022 74.486557 99.1433223 88.4653349
ENSDARG00000001249 6.53808 8.71335 9.91818 10.32507 12.12033 9.95374 12.1263 12.48957
ENSDARG00000001259 1.629242 0.76424 1.757663 1.26937 3.32955 2.761993 1.960168 1.489054
ENSDARG00000001303 0 0 0.0271726 0.0492001 0 0.0285401 0.0280307 0.118632
ENSDARG00000001313 14.892322 17.5137 24.6021 18.4796 30.663761 30.300171 24.168343 24.506747
ENSDARG00000001354 0.944355 0.979524 1.39236 1.25633 1.14399 0.880371 1.79886 1.27209
ENSDARG00000001414 1.191566 0.986148 2.5370688 1.59056000043325 2.53632926732 2.62603842387 1.851231 1.42892000085
ENSDARG00000001431 30.053282 32.61582 39.045263 38.148356 52.97757 62.81831 34.31559 21.99308
ENSDARG00000001437 0.145043 0.149658 0.241944 0.060492 1.50268 1.27395 0.566597 0.289977
ENSDARG00000001442 1.12636 0.865509 0.977366 0.410095 0.600017 0.5014 0.883152 1.09644
ENSDARG00000001447 6.90032 5.56417 7.77446 5.4687 8.25546 8.99278 9.07688 7.75838
ENSDARG00000001452 3.608624 3.146981 2.4941823 2.12043 4.83147 4.45766 4.322142 3.811365
ENSDARG00000001463 3.094712 1.345732 1.66274 0.7995445 0.489537 0.302589 1.141718 0.5843154
ENSDARG00000001470 3.77574 4.29638 4.74642 4.05338 7.784598281 7.481305 7.05865 7.66619
ENSDARG00000001498 1.252970154318 1.368825 1.94424 1.524078 2.1048183 1.999505 2.053988 1.282251
ENSDARG00000001549 3.6683 1.385295 4.609768 2.39424 9.70206 8.90418 5.048279 9.1011957
ENSDARG00000001557 12.6386102 11.3419713 13.526696 10.9728005 16.07231 20.3041558 14.524259 15.085721
ENSDARG00000001558 35.70351 34.667004 42.4226 34.59118 67.2075 61.9646 53.1653 53.03919
