Control_1 Control_2 Control_3 Control_4 dazl_1 dazl_2 dazl_3 dazl_4
ENSDARG00000028346 5.92801 5.9253 7.50358 6.6764 6.76043 7.62297 6.61342 6.97938
ENSDARG00000028348 0.248956 0.269704 0.367047 0.174158 1.79231 1.30116 1.11224 0.881881
ENSDARG00000028354 0.13399 0.1353103 0.1356476 0.0105463 0.135405 0.157315 0.257484 0.0714057
ENSDARG00000028367 2.15017 1.83395 1.56299 1.35239 3.25969 3.27903 1.69728 1.97628
ENSDARG00000028379 13.0842711 10.5375 14.156 13.792325 18.840368 17.608734 15.335224 15.2591531
ENSDARG00000028386 6.59419 5.78084 8.9986 7.399889 5.704373 6.7987 7.02715 8.79233
ENSDARG00000028389 0.0284955 0.0326165 0.0383358 0.0222959 0 0.00566982 0.0407957 0.00956738
ENSDARG00000028393 0.036304110424 0.018430404717 0.111853422754 0.0320549 0.110318679057 0.236813 0.031467960824 0.0383673
ENSDARG00000028396 0.5892908 0.5169089 0.658667 0.606648 1.29211 1.167174 0.850676 1.126987
ENSDARG00000028401 22.26346 23.6225 27.69980248397 24.2969238346 39.26570159724 36.2247 40.87790480403 45.3276000741967
ENSDARG00000028431 13.692173 12.056712 16.422565 12.0276089 23.174843 21.535906 19.969017 21.641195
ENSDARG00000028442 4.36241 4.077073 4.20141 4.04028 6.545647 5.967988 7.061736 6.71074
ENSDARG00000028448 5.197647 4.591987 5.8878487 5.411625 6.651166 6.4483644 6.339354 7.128023
ENSDARG00000028469 0.0257566 0 0 0 0.0155874 0.0603632 0.02964 0.0726836
ENSDARG00000028475 10.933486 8.699903 10.165374 9.0052121 14.50734 15.12189 14.969197 14.346817
ENSDARG00000028478 0.0676631 0 0.0368705 0 0 0.097005 0.332487 0.186437
ENSDARG00000028485 0 0.104196 0 0 0.156443 0.0302821 0.0297421 0.116652
ENSDARG00000028507 4.576214 4.544383 6.42231 3.88602 6.7233 7.74769 7.69222 5.151225
ENSDARG00000028517 4.2457624 4.0360148 5.3861044 3.63119 5.824468 5.345864 5.9210364 5.62955
ENSDARG00000028521 0.0714311 0.128646 0.310753 0.0326771 0.67458 0.693534 0.360645 0.4813234
ENSDARG00000028523 28.8166 52.4423 61.4644 63.5381 74.2319 74.6792 68.8261 72.0565
ENSDARG00000028533 43.5270899 31.1853734 37.9677747 22.6554895 39.326403 39.9933096 45.7456912 35.80941369
ENSDARG00000028539 19.4108 16.819 24.6259 16.6322 31.5289 30.999 26.7641 30.5321
ENSDARG00000028541 0.860883 0.280932 0.966255 0.873183 2.017364 1.45946 0.956136 0.879157
ENSDARG00000028542 104.0103 73.5114 63.4725 47.6478 47.78514 48.7724 73.2479 65.2991
ENSDARG00000028546 20.8734 30.2033 39.0771 39.4612 58.7434 61.6847 41.1604 38.5515
ENSDARG00000028552 0.147703 0.126677 0.058725 0.1230702 0.0492934 0.0753643 0.106766 0.121721
ENSDARG00000028559 14.2742 16.6837 15.3374 16.3387 16.8982 16.7173 19.9317 22.9929
ENSDARG00000028581 9.402979 9.7751439 11.497142 9.443769 14.28446 12.411556 12.858898 14.49687
ENSDARG00000028583 0.429948 0.469769 0.800644 0.328628 1.29143 0.954609 0.491089 0.372156
ENSDARG00000028586 0.212364 0.258605 0.702234 0.131565 0.677374 1.09271 0.59026 0.289404
ENSDARG00000028614 23.003553 23.070268 16.689043 19.630411 21.380765 20.81613 23.533601 26.980415
ENSDARG00000028618 20.723884 25.375178 24.082723 27.122666 26.262197 24.13391 28.63582 28.562841
ENSDARG00000028625 6.82103 7.94245 9.20401 10.8088 13.6757 18.1069 7.54394 4.14066
ENSDARG00000028628 1.03139 0.469554 1.40667 0.824362 1.7589 1.31684 0.977918 0.463952
ENSDARG00000028659 0 0.0469034 0 0 0 0 0 0
ENSDARG00000028661 12.652943 11.2019298 18.120663 11.153375 21.51161 21.853808 18.660965 15.0305973
ENSDARG00000028663 5.138503 3.830307 3.953629 3.1260428 4.649227 4.641632 4.582434 4.04706
ENSDARG00000028664 4.3031886 3.80713432 2.794725 1.9785513 6.520617 7.145741 2.646894 0.99423
ENSDARG00000028676 4.43323 3.53329 4.31573 3.16701 6.16547 5.89265 5.57675 4.95638
ENSDARG00000028688 16.830721 18.4133475 30.555792 30.507511 44.998046 48.037316 32.004786 32.683731
ENSDARG00000028699 19.9917 22.817 31.3367 26.4008 43.4661 41.2348 37.4351 33.2672
ENSDARG00000028715 5.23691 5.98873 4.78951 4.55777 6.33481 5.6526 5.03278 6.07801
ENSDARG00000028721 6.1048756 6.699154 8.0640644 5.2639029 10.509144 10.1240703 11.2596612 12.8621111
ENSDARG00000028725 0.0300965 0.0101733 0.0224551 0.00948969 0.012181 0.047175 0.0231637 0.0568067
ENSDARG00000028731 0.2740261 0.334338451953 0.89487649408 0.65156 0.422057 0.477047 0.548778 0.385246227
ENSDARG00000028740 0.711288 0.61406 0.953848 0.571173 0.252398 0.6510606 0.959041 0.5950178
ENSDARG00000028748 14.7156 16.6065 25.4112 21.3159 25.7371 25.6535 25.9931 24.5934
ENSDARG00000028780 0.155634 0.12761 0.125281 0.0793543 0.0680093 0.0658143 0.0807694 0.0475613
ENSDARG00000028784 0.441575 0.401597 0.320472 0.176459 0.3298145 0.360063 1.371931 9.48442
ENSDARG00000028786 0.0432686 0.125152 0.5535583305 0.100779 1.123731 0.742603 0.983242 1.483185
ENSDARG00000028793 0.11013162 0.1423819 0.36117957069 0.208692 0.935881 0.9212597 0.6495896 0.285057
ENSDARG00000028800 0.5250919 0.143684 1.124937 0.1936004 3.38214 2.92813 2.297858 1.969052
ENSDARG00000028804 1.48451 2.21291 2.64605 2.65706 2.10782 2.89746 2.58443 1.90773
ENSDARG00000028815 2.06874 1.84367 2.6443 2.87032 3.34415 4.40109 4.06864 3.005
ENSDARG00000028816 11.8633 15.82 24.4043 19.2978 24.2911 25.9126 21.4409 16.8609
ENSDARG00000028824 1.04763 1.15746 0.807069 0.857179 1.10553 1.04047 1.4620581 1.21589
ENSDARG00000028845 0.0359069 0.0199335 0.1531751 0.0328493 0.04851351 0.0459545 0.0655517 0.1517677
ENSDARG00000028848 26.473 32.5785 30.7063 28.8062 32.0524 32.7123 35.3138 37.3019
ENSDARG00000028850 0.1456495 0.0968141 0.1334634 0.0840194 0.0233954 0.1149726 0.550499 2.114658
ENSDARG00000028857 0.1230051 0.0186403 0 0.017388 0.286971 0.1844835 0.101059 0.772119
ENSDARG00000028862 0.0278163 0.0826934 0 0 0 0 0.0629621 0.123467
ENSDARG00000028878 0.0297446 0.0905025 0.110977 0.0281405 0.0963212 0.128231 0.114479 0.1123
ENSDARG00000028889 97.9744 114.829 154.261 165.301 157.966 167.867 138.48 126.169
ENSDARG00000028894 51.145139 35.71213 32.344241 32.5589995 38.7455613 39.57386 42.704269 54.51334
ENSDARG00000028896 3.73727 3.65351 5.41598 5.08268 5.4393 5.7976 6.16795 10.2551
ENSDARG00000028899 1.08141 1.02848 1.14981 0.875411 1.29372 1.13322 1.27396 0.876166
ENSDARG00000028900 3.78655 3.06351 4.24685 2.90676 6.60615 6.17043 5.68834 4.24179
ENSDARG00000028912 0.0361079 0 0.0297117 0.0195276 0.0712079 0 0.013201 0.0391796
ENSDARG00000028937 3.90489 3.510141 4.146182 3.373641 4.397588 4.785 5.25892 5.62256
ENSDARG00000028943 15.28449 7.14172 9.49721 3.540685 12.97285 14.02177 11.74701 8.68891
ENSDARG00000028949 1.32075 1.43811 1.75414 1.19034 1.85494 2.32965 1.86802 1.60817
ENSDARG00000028957 15.736 12.3885 17.0764 11.8478 21.9863 21.032 18.4874 13.2856
ENSDARG00000028971 28.8438 28.00964 40.26581 39.69741 52.8458 54.67072 47.44 49.15421
ENSDARG00000028973 0.0535341 0.0537362 0.0395922 0.0432899 0.0214801 0.0539285 0.1074033 0.0519382
ENSDARG00000028976 6.0608382 7.017894 9.64901 8.028205 12.943272 11.782138 10.826758 11.523382
ENSDARG00000028982 17.195868 19.60268 20.808872 17.323739 29.024402 31.669845 24.049616 21.542376
ENSDARG00000029003 57.7477 61.8479 74.807 69.2019 92.4908 87.4749 82.2272 88.516
ENSDARG00000029011 11.469005 14.4047 21.1157 20.8819 29.376 26.9406 21.1294 18.2687
ENSDARG00000029018 9.239661 11.153419 25.20107 12.544744 18.34911 19.67241 15.56467 10.631992
ENSDARG00000029019 3.23355 3.80939 2.2955 1.80181 4.12685 3.11361 5.13251 4.04155
ENSDARG00000029036 13.86893 12.6695384 14.0111345 13.828 17.7924521 16.5211146 20.9802671 22.02035
ENSDARG00000029039 0.0512901 0.0764513 0.30277 0.237685 0.268826 0.173458 0.349123 0.361944
ENSDARG00000029043 6.779592 5.040429 6.779532 5.8453465 9.581972 7.364863 7.070698 6.42873
ENSDARG00000029045 5.21782 4.36212 9.0017 4.89362 14.1132 13.691 13.326 13.6304
ENSDARG00000029051 0.132561 0.0384909 0.0427477 0.0807504 0.0709367 0.106966 0.128338 0.21743
ENSDARG00000029057 0.562265 0.817143 0.723184 0.783932 1.541527 0.596817 0.746022 0.757678
ENSDARG00000029058 93.988803 112.703188 141.009518 137.286147 213.851202 212.072294 166.108761 155.08089
ENSDARG00000029063 7.53879 8.17977 9.30112 8.09014 11.06774 11.81794 10.7941 12.02282
ENSDARG00000029064 132.86063 161.871354 246.84788 256.6784 332.494504 325.97946 269.15055 220.94804
ENSDARG00000029069 139.871257 200.1831075 554.5785373 732.8215075 389.9112269 497.9214225 207.7035732 124.357
ENSDARG00000029071 11.5585 10.2249 14.243846 14.6346 13.8871 14.1476 14.453 15.4009
ENSDARG00000029072 18.614613 19.968207 26.8507 21.964094 36.2495 35.105907 33.9906 27.2882
ENSDARG00000029075 13.623545 15.6106 24.204377 20.411681 23.8938 22.312 33.922469 27.922758
ENSDARG00000029088 16.3579 11.4559 10.6079 14.1472 11.057 11.6046 12.2195 11.7409
ENSDARG00000029100 30.6282 34.8291 40.9883 41.859 40.3436 39.6913 35.6372 34.2221
ENSDARG00000029105 3.168016 2.4792014 3.07926 1.9766807 3.786548 3.291014 2.844557 2.30024
ENSDARG00000029107 45.755781 46.6291 41.7044 40.6722 54.607127 54.92574 56.314829 65.0914
ENSDARG00000029112 1.04989 1.07128 0.993902 0.749422 0.711334 0.888476 1.30887 1.24084
ENSDARG00000029114 0.78946 0.631462 0.653968 0.406254 1.2008 1.18489 1.05522 0.926037
ENSDARG00000029124 0.0322585 0.00981822 0.0465907 0.0824268 0.0280314 0.0432496 0.0506688 0.0931961
ENSDARG00000029133 9.86515 10.35561 13.47302 10.48427 16.77328 16.34774 14.50126 16.88546
ENSDARG00000029146 2.80105 2.17149 3.87273 1.6884 5.41652 5.47542 4.76673 3.67444
ENSDARG00000029150 1390.730991 1429.4233645 1710.718065 1708.530783 1933.67868 1741.2765859 1683.942442 1578.115473
ENSDARG00000029157 12.650532 13.267826 14.66216 10.960253 20.89258 20.36103 20.405261 16.764629
ENSDARG00000029168 7.9977126 5.3565839 6.6486158 3.4489443 6.277859 7.2140758 7.8035435 12.3367726
ENSDARG00000029170 4.666323 3.855554 6.8610253 3.5136503 7.026507 9.045781 6.566606 5.8848608
ENSDARG00000029177 1.255915 1.443156 0.9857415 1.012694 1.4377986 2.07173 1.67474 1.47785
ENSDARG00000029179 13.8359 13.4974 14.4824 13.2103 22.404 19.467 18.1937 16.4661
ENSDARG00000029204 6.35181 6.65529 8.67599 9.10207 9.52135 11.3741 7.75425 5.86335
ENSDARG00000029215 4.976114 4.68191 6.321293 5.5546389 9.72301 8.632599 8.149545 7.737461
ENSDARG00000029219 0.0688712 0 0.0506449 0.0427029 0.247311 0.292568 0.15583158 0.1441372
ENSDARG00000029230 0.0329411 0 0.107806 0 0.1560089 0.1132254 0.111212 0
ENSDARG00000029232 1.510821 1.411825 1.204022 0.684008 1.945539 1.616717 2.067272 1.588975
ENSDARG00000029234 1.25041 0.999422 1.73398 0.85135 1.84872 1.80176 1.79838 1.62941
ENSDARG00000029239 0.887243 0.84719 1.03166 1.197 1.34318 1.01143 1.44734 1.53105
ENSDARG00000029242 6.5365126 7.6344149 7.5515794 6.6135702 9.94229 10.7008 9.7685262 8.7659248
ENSDARG00000029248 72.28027 74.70264 85.36731 74.65067 134.44704 128.104 127.513 122.10136
ENSDARG00000029250 2.38732 2.20839 2.73284 2.52403 4.34579 4.32 3.28894 3.29392
ENSDARG00000029252 39.0647 43.689 69.895 60.0374 104.0371 103.51563 75.2782 80.5176
ENSDARG00000029259 1.92819 1.7886 1.6541 1.07248 1.79482 1.5891 1.87279 2.02039
ENSDARG00000029263 43.348429 41.0192680006035 41.46060100151 28.460378 45.095609 46.423342 41.9367084 36.640752529982
ENSDARG00000029290 8.77354 10.0823 14.1133 11.2355 10.6624 10.0361 12.4639 11.2305
ENSDARG00000029291 2.848461 2.945418 3.736369 3.141553 4.542883 4.70547 5.120305 7.82367
ENSDARG00000029292 36.429905 34.261999 33.935528 29.626277 44.119428 42.213394 45.41841 49.132819
ENSDARG00000029296 1.12646 1.14604 1.31447 0.79011 2.21227 1.71361 2.00448 1.40597
ENSDARG00000029305 2.53171 2.74236 4.04564 2.54016 4.02052 3.39082 5.04958 12.0668
ENSDARG00000029307 2.12141 2.27641 2.474 1.60632 4.7185 4.73244 2.94161 3.76824
ENSDARG00000029308 2.409807 1.4734 2.117246 1.601059 2.062433 2.632309 1.96973 2.861202
ENSDARG00000029331 1.57657 1.46588 1.88596 1.5576 2.50432 2.17323 3.17956 2.60612
ENSDARG00000029353 6.84361 9.54417 18.6614 16.4455 21.0572 19.8974 18.3783 21.8941
ENSDARG00000029356 15.15712 18.55076 23.92699 18.69907 21.26908 22.38533 23.78438 22.54999
ENSDARG00000029370 12.67442 7.62701 12.34981 5.96525 15.21459 14.12034 14.37097 10.9647
ENSDARG00000029372 0.809122 0.547077 0.8667 0.650315 0.836843 0.789655 0.967137 0.846417
ENSDARG00000029381 0.311745 0.165004 0.528707 0.153909 0.949521 1.3477284 0.959146 0.424246
ENSDARG00000029388 0.472056 0.543713 0.410211 0.3756585 0.534192 0.574473 0.451377 0.580919
ENSDARG00000029402 9.574282 8.66886 11.26953 8.443182 11.98003 10.74454 12.66953 10.97577
ENSDARG00000029406 27.2471 41.5525 68.4064 76.226 68.2667 59.0811 50.5992 41.3704
ENSDARG00000029415 9.88428 15.0131 21.7068 21.9761 25.3861 24.1357 20.6505 16.6141
ENSDARG00000029431 0.296057 0.190225 0.693436 0.3168527 0.958274 1.257685 0.6503086 0.3185221
ENSDARG00000029432 0.0578961 0.0875552 0.112824 0.17695 0 0.13544 0.182891 0.440314
ENSDARG00000029439 1.3412496 1.305379 2.106164 1.585253 2.99599 3.02791 3.751453 9.79963
ENSDARG00000029443 32.543 31.5104 35.7582 33.3222 44.1503 40.0063 33.2124 33.0242
ENSDARG00000029445 265.7694 257.422 319.335 316.136 367.573 362.722 322.4958 379.502
ENSDARG00000029457 0.976839 0.72363 0.986546 0.47435 0.701788 1.042 0.784104 0.501947
ENSDARG00000029461 0 0 0 0 0.0751431 0 0 0.0934054
ENSDARG00000029463 6.3045242 5.389317 5.6250279 3.8345776 8.489849 8.079814 7.736395 6.7247111
ENSDARG00000029472 10.792172 9.217613 10.04903 6.672711 11.44042 11.24945 11.9621 11.545659
ENSDARG00000029473 1.66973 1.95951 1.55613 1.13504 1.57373 1.30298 1.99478 2.33973
ENSDARG00000029474 2.93938 2.884099 3.936736 2.936513 3.77752 3.904156 4.978838 4.2494115
ENSDARG00000029476 0.1685737 0.1043249 0.1206751 0.119849 0.1973747 0.1802399 0.2203701 0.2452821
ENSDARG00000029479 7.2827 9.23177 15.7904 14.6302 11.3582 15.3716 9.94825 8.02709
ENSDARG00000029480 0.663919 0.477903 0.513972 0.3884945 0.445224 0.464249 0.788522 2.1181081
ENSDARG00000029482 0.0118317 0.0103979 0.00763864 0 0.0708525 0.00601823 0.0236387 0.0657165
ENSDARG00000029493 0.269508 0.0915529 0.264396 0.104173 0.267753 0.333263 0.363656 0.408337
ENSDARG00000029497 1.502075 0.623621 1.119439 0.82620342 1.3918623 1.44017 1.408512301144 0.539653
ENSDARG00000029500 4294.64484 4920.212678 5281.06574 5882.73503942328 4456.2427052909 4531.59605507878 4572.61811 4503.7449
ENSDARG00000029501 3.28422 3.31703 4.88554 3.44574 5.97111 6.326645 5.8696915 7.2298805
ENSDARG00000029510 36.0752079 45.5446356 51.8507 47.4164116 61.2843374 61.2834 54.0345202 52.0016
ENSDARG00000029511 0 0 0 0 0 0 0.124515 0.65129
ENSDARG00000029524 65.905252 63.253208 77.440684 63.654297 86.211067 89.19423 86.7637144 82.786102
ENSDARG00000029533 5292.094197 5238.52895 5554.161499 6252.83911 4818.768287 4821.19553 4666.839034 4621.23749
ENSDARG00000029544 5.44899 6.675901 6.404945 8.019129 10.18959 8.83583 7.221173 7.095507
ENSDARG00000029546 0.165735 0.409864 0.396041 0.276188 0.503937 0 0.13745 0.0902015
ENSDARG00000029556 27.51442 21.334128 30.92689 21.6692 38.60297 37.02366 36.29616 32.67833
ENSDARG00000029569 0.0899428 0.0673062 0.2990051 0.125555 0.215429 0.182453 0.255992 2.25929
ENSDARG00000029581 9.52919 8.26205 10.7134 6.82848 11.9013 12.3726 12.8588 9.2966
ENSDARG00000029587 1.29811 1.06078 2.31295 2.34133 2.59557 3.37613 2.87133 3.80573
ENSDARG00000029596 13.3555 16.0904 15.7374 17.6428 19.1693 22.2721 12.5464 9.62594
ENSDARG00000029600 11.9343 13.2633 14.5949 12.5747 18.0289 18.2574 17.9817 18.8498
ENSDARG00000029609 0.2319668 0.1233951 0.0972769 0 0.145196 0.240611 0.1366208 1.464001
ENSDARG00000029612 19.2698 16.8041 18.8151 17.856 27.4729 26.446 25.7579 26.5229
ENSDARG00000029615 23.1404 19.2496 17.9685 19.9061 25.6866 24.6894 24.8145 31.0385
ENSDARG00000029621 6.812087 7.583229 8.703188 7.993355 11.473834 12.75421 11.852151 9.122244
ENSDARG00000029635 0 0 0 0.0102336 0 0 0 0
ENSDARG00000029639 8.64176 8.94906 18.3919 12.2426 29.203 36.3439 21.343 20.3116
ENSDARG00000029660 4.67853 5.66013 8.58178 7.23063 11.1501 10.2923 8.88347 8.92055
ENSDARG00000029663 61.608 73.5907 89.4552 80.9709 105.503 110.082 104.271 89.0371
ENSDARG00000029668 0.377112 0.192488 0.508259 0.245715 0.769498 0.79793 0.449394 0.390027
ENSDARG00000029671 5.72337 6.22005 7.12251 6.00869 10.347067 9.87848 10.2392 10.4454
ENSDARG00000029688 0.322572 0.18324 25.0667 0.666169 0.380835 0.320918 0.459952 0.663973
ENSDARG00000029689 0.684121 0.683614 0.755549 0.595895 1.15782 1.18638 0.889948 0.643476
ENSDARG00000029692 6.01301 4.62221 8.68842 7.44022 15.3914 15.0489 9.20047 8.75473
ENSDARG00000029695 5.93147 6.28354 9.03199 6.38958 9.54609 9.3856 7.98394 8.35907
ENSDARG00000029710 0.447905 0.526952 0.85977 1.00882 2.13273 2.16079 0.981956 0.372693
ENSDARG00000029718 2.61988 3.0148421 2.8837796 1.9139 2.473402 2.628841 3.12511 2.03301
ENSDARG00000029720 0.0209114 0 0 0 0.0266886 0 0 0.0701629
ENSDARG00000029722 1522.643729 1278.179459 1526.71348 1628.876048 2113.631963 2020.08119 1853.253992 1768.54467
ENSDARG00000029724 48.87672 50.740098 63.10717 65.1311 82.162274 76.365617 83.7689 82.3916
ENSDARG00000029729 3.96032 4.2349 5.753958 5.53025 6.3785293 6.147158 5.1555525 5.6486062
ENSDARG00000029747 0.2899751 0.101818 0.032131 0.1872913 0.0606086 0.0506255 0.0497178 0.2257106
ENSDARG00000029751 0.382262 0.172324 0.890369 0.285292 1.21804 1.23035 1.3138 0.96204
ENSDARG00000029761 1.570690127672 1.04727 5.4254722 1.6877796 10.305102 10.43889 6.67124 3.592414
ENSDARG00000029764 27.6816005 23.4550668 19.357133 15.8585371 35.607545 43.273283 25.3878047 18.6569319
ENSDARG00000029766 0.696719 0.420613 1.73258 0.599782 1.92787 2.24733 1.42526 0.834653
ENSDARG00000029768 9.07783 10.0511 12.5684 9.21473 18.2818 17.9478 15.9405 18.7963
ENSDARG00000029783 22.607945 23.599721 24.359838 21.870868 22.301225 22.976805 30.258144 33.323895
ENSDARG00000029795 14.9779105 16.6808 16.7937 14.4829 20.373825 20.397058 19.665309 19.413233
ENSDARG00000029803 0 0 0 0 0 0 0 0
ENSDARG00000029818 440.909800882 354.6421993888 374.9697227 328.382522 398.014173 384.1168428 417.168708 383.014138
ENSDARG00000029822 1.15313 0.667724 0.435558 0.133463 0.343034 0.405878 0.498885 0.373183
ENSDARG00000029830 1.03451 1.228 3.43516 2.45977 4.99066 5.99492 2.44928 1.48102
ENSDARG00000029832 1.11339 1.4885788 1.6667232 1.3492026 3.282097 2.51886 2.32951 2.90943
ENSDARG00000029838 0.0966186 0.00814853 0.0499855 0.0729445 0.0660855 0.1072822 0.0526124 0.1150374
ENSDARG00000029841 0.232748 0.223414 0.439473 0.360569 1.9768726 1.4490164 0.953974 0.5936057
ENSDARG00000029848 2.69433 1.259286 1.725959 0.922539 0.788769 1.400052 1.705255 2.4273
ENSDARG00000029856 29.288796 27.6019000016095 37.9628 31.411 48.8755 45.4477 44.4308 52.7279
ENSDARG00000029859 2.423274 1.467486 2.266446 1.7520978 1.6050589 2.39625 2.177479 3.0033327
ENSDARG00000029865 16.3101859 15.7807869 18.588284 14.0170033 23.701431 22.6693434 23.501955 20.4469644
ENSDARG00000029866 0.200102 0.158548 0.461662 0.080667 0.0345451 0.217382 0.164218 0.193288
ENSDARG00000029874 11.789698 8.8073552 9.73864 9.42831 6.652551 6.5600305 7.47253 6.29055
ENSDARG00000029881 0.3635609 0.1950855 0.289885 0.2641472 0.339672 0.371162 0.347313 0.346353
ENSDARG00000029885 28.595703 30.4432 32.160267 26.8434382 37.200179 38.62029 37.963128 37.8679576
ENSDARG00000029890 0 0 0 0 0 0 0 0.0362987
ENSDARG00000029894 1.05071 0.791348 1.55472 0.606908 3.96438 4.04178 3.22766 1.69092
ENSDARG00000029898 0.118836 0.0960744 0.0724801 0.0896164 0.0328904 0.126891 0.186918 0.0306725
ENSDARG00000029905 3.913402 4.33529 6.12289 5.0940882 6.59089 7.412632 7.7960009 7.6472988
ENSDARG00000029907 0.328326 0.193493 0.213901 0.908342 0.139262 0.202206 0.220654 0.324597
ENSDARG00000029911 16.6989 16.4952 19.9949 16.0624 27.409 27.1838 26.5213 30.9429
ENSDARG00000029928 10.465692 12.645173 14.336797 12.6672 17.540229 18.761255 17.403692 17.101024
ENSDARG00000029930 0.804374 0.760956 1.01875 1.27155 1.63945 1.66029 1.63076 1.24347
ENSDARG00000029931 6.4604 6.6073 9.46339 8.22649 13.0434 13.729 10.4687 10.1865
ENSDARG00000029936 11.03925 10.44405 8.6182 9.70416 11.21135 11.33798 13.58123 12.99198
ENSDARG00000029944 14.0899792 12.35732 15.7870298 12.0874845 17.8737845 18.246475 17.637684478 23.177631
ENSDARG00000029952 1.96067 1.45132 2.045337 1.2510096 2.913739 2.89853 3.2184353 2.8512539
ENSDARG00000029955 6.378227 6.3279596 5.702947 4.553242 7.71952 7.62265 6.961807 7.327116
ENSDARG00000029993 0 0 0 0 0 0 0 0
ENSDARG00000029995 0.367223 0.324321 0.2631675 0.191631 0.217641 0.38960700381693 0.304836 0.3661248
ENSDARG00000029997 0.14169 0.0665448 0.0741935 0 0.241705 0 0 0.224869
ENSDARG00000030006 2.42376 2.44492 4.67536 3.63059 3.5574 3.14204 3.28249 3.22249
ENSDARG00000030012 35.814456 30.0601174 24.7898156 19.7352752 29.181667 32.039067 29.2406392 23.577098
ENSDARG00000030020 9.99533 9.34669 10.4443 8.52905 11.6781 11.8325 11.9633 10.6853
ENSDARG00000030022 9.05166 9.58336 15.1171 12.2674 23.5006 22.4046 15.0974 13.689
ENSDARG00000030025 0.534656 0.118211 0.691938 0.394096 0.820594 0.86203 0.531183 0.472162
ENSDARG00000030038 20.752777 23.048614 33.481107 24.565859 37.567399 35.1944518 34.226794 32.87447
ENSDARG00000030053 549.2521 494.41618 484.6926 524.29653 468.56328 430.45711 429.12218 455.46336
ENSDARG00000030058 1.4702542 1.2356645 2.43851 1.0662485 1.580608 1.8461877 1.3594673 1.3037
ENSDARG00000030064 10.42037 11.37476 15.867423 14.12642 20.87067 20.207108 20.44598 19.52643
ENSDARG00000030078 0.598122 0.861883 0.988188 0.652247 0.994241 0.830382 0.759902 0.690774
ENSDARG00000030087 29.24104 31.51932 45.44858 36.51043 36.81639 37.9146 40.15539 32.97941
ENSDARG00000030092 21.79818 32.55637 31.23697 33.62514 32.5911 35.0945 33.60765 33.79689
ENSDARG00000030094 12.1463 12.7964 9.93136 9.4809 11.7206 9.27145 12.4 13.7492
ENSDARG00000030095 0.0436609 0.0127132 0.0210317 0.0296484 0.0608432 0.0441857 0.0144634 0.035474
ENSDARG00000030097 0.355856 0.354494 0.705936 0.308596 1.27678 1.62024 0.809144 0.846338
ENSDARG00000030104 1.628343 0.999291 1.162054 0.6655273 0.7819067 0.843335 1.039609 0.589278
ENSDARG00000030106 16.0065683 17.47728 16.864808 15.2161267 19.765533 19.61904 19.8267563 20.203534
ENSDARG00000030107 3.476791 2.59341622 3.825884 3.14697679 6.509819 6.44078151 4.15391144 4.840706
ENSDARG00000030108 12.078789 12.1737 21.407558 18.42866 22.74911 26.475718 19.21313 16.3973
ENSDARG00000030110 36.8268 33.2403 28.2189 24.8829 28.0797 33.3106 26.0259 22.8168
ENSDARG00000030114 2.67342 2.16954 4.5592 1.23969 6.18984 7.26265 5.83992 5.26819
ENSDARG00000030116 8.337494 9.648332 10.731729 7.4638458 15.482999 15.054975 13.164891 11.318066
ENSDARG00000030125 3.449472 3.9081289 4.9478658 3.533994 5.5829414 5.280476 5.1584478 4.0989609
ENSDARG00000030129 0.488786 0.2841298 0.992762 0.1517613 1.908452 1.973245 1.615984 2.4139244
ENSDARG00000030133 0.067156 0.0863616 0.140158 0.0730285 0.0750368 0.0909152 0.235589 1.65192
ENSDARG00000030139 33.1555 42.8799 47.2973 50.464 47.8549 56.4157 43.084 41.2935
ENSDARG00000030153 4.480873 4.3118007 6.067457 3.6368981 6.63418 7.515859 6.8459692 6.799635
ENSDARG00000030154 4.478096 4.953704 5.081248 3.828419 4.79884 5.83105 4.565607 4.397317
ENSDARG00000030155 40.670513 47.98778 48.902912 43.82748 71.62802 72.08178 65.449268 74.19355
ENSDARG00000030156 2.37197 2.50582 3.61093 2.78699 4.55579 5.55518 4.8204 3.54589
ENSDARG00000030157 0.0876619 0.0817793 0.0656072 0.0624159 0.106763 0.068917 0.0967057 0.05928954
ENSDARG00000030161 30.589417 31.0051 34.1591 26.214295 43.783659 43.937201 37.839457 35.201832
ENSDARG00000030163 0.202728 0.0664556 0.331424 0.154947 0.0399682 0.0773517 0.0379885 0
ENSDARG00000030166 5.991195 8.573799 9.721594 11.118466 10.823323 12.02737 10.182451 10.626118
ENSDARG00000030173 0.953717 1.493914 2.528081 0.470948 7.33236 5.087743 2.93278 3.39687
ENSDARG00000030176 36.106003 29.742608 31.89097 30.14506 45.09481 46.916144 30.9007062 24.9645754
ENSDARG00000030177 25.338245 26.9109 31.9118559 31.7391068 47.528652 44.991629 31.9448 38.028255
ENSDARG00000030213 70.157 84.1928 94.7302 95.525 85.3842 92.1263 89.6112 93.3826
ENSDARG00000030215 0.110382 0 0 0.0649356 0.0333665 0.0161514 0.0634467 0.0622323
ENSDARG00000030224 1.73025 0.937598 3.81045 1.92381 11.126 10.716 7.07207 4.28436
ENSDARG00000030236 2.0657 1.99236 6.76277 3.08078 9.21191 9.3061 6.47356 5.46825
ENSDARG00000030237 38.2411 34.2063 40.5972 34.0479 45.5958 45.11 51.801 58.3694
